spellName,school,subschool,descriptor,spellLevel,castTime,spellComponents,range,area,effect,target,duration,savingThrow,spellResistance,description,reference,domain,shortDescription,materialComponents
Evaluator&apos;s Lens,conjuration,creation,,"inquisitor 2, occultist 3, sorcerer/wizard 3, summoner/unchained summoner 2, witch 3",1 standard action,"V, S",personal,,,,1 minute/level or until discharged,,,"&lt;p&gt;You summon an insubstantial lens of force 4 inches in diameter that hovers in front of your face. When you attempt a saving throw against a spell with the figment or pattern descriptor, you can roll twice and take the higher result. You gain a +10 enhancement bonus on Appraise checks to appraise the worth of an item viewed through the lens, and you never judge an item&apos;s value wildly inaccurately. If you successfully identify that the item has magical properties, you can immediately attempt a Spellcraft check to determine the item&apos;s properties, as if you had cast &lt;i&gt;detect magic&lt;/i&gt; on the item and examined it for 3 rounds. This spell cannot determine the properties of artifacts.  The lens cannot be targeted or harmed by physical attacks, but &lt;i&gt;dispel magic&lt;/i&gt;, &lt;i&gt;disintegrate&lt;/i&gt;, or a &lt;i&gt;rod of cancellation&lt;/i&gt; affects it. The lens&apos;s AC against touch attacks is equal to 10 + your Dexterity modifier.&lt;/p&gt;",Black Markets,,,NULL
Fleeting Defect,transmutation,,,"bard 2, bloodrager 2, magus 2, sorcerer/wizard 2",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,,"one solid object that does not have the broken condition, or one construct",1 minute/level (D),"Fortitude negates (harmless, object); see text",no,"&lt;p&gt;You cause a single object to temporarily gain the broken condition. The target must be a single solid object, regardless of its composition, weighing up to 10 pounds per caster level. Attended objects are allowed a Fortitude save. When this spell ends, the object reverts to its original quality. An item destroyed while under the effects of this spell remains destroyed when this spell ends.  This spell can be cast on a single construct to disrupt its animating force. A construct that fails its saving throw takes a -2 circumstance penalty on attack rolls, saving throws, skill checks, and ability checks for the duration of the spell.&lt;/p&gt;",Black Markets,,,NULL
Incendiary Runes,abjuration,,fire,"occultist 1, sorcerer/wizard 1",1 standard action,"V, S",touch,,,one touched object weighing no more than 10 lbs.,permanent until discharged (D),Reflex partial,yes,"&lt;p&gt;This spell functions as &lt;i&gt;explosive runes&lt;/i&gt;, except it creates a small surge of flames rather than an explosion of force. The runes automatically deal 1d6 points of fire damage to any creatures and objects in adjacent squares, and those creatures and objects catch fire unless they succeed at Reflex saves.&lt;/p&gt;",Black Markets,,,NULL
Peerless Integrity,illusion,glamer,,"antipaladin 2, bard 2, mesmerist 2, psychic 2, sorcerer/wizard 2",1 standard action,"V, S, DF",personal,10-ft.-radius emanation centered on you,,,10 minutes/level,none or Will negates; see text,none,"&lt;p&gt;&lt;i&gt;Peerless integrity&lt;/i&gt; conceals the alignment of creatures from divination magic. All creatures within the spell&apos;s area, including you, appear to have lawful good auras for the purposes of divination spells and effects that reveal alignments (such as &lt;i&gt;detect law&lt;/i&gt; and &lt;i&gt;see&lt;/i&gt; alignmentUC), instead of their actual alignments. If the caster of such divination magic succeeds at a Will save, the caster recognizes whether the readings are true or false. Any creature under the effects of this spell gains a +2 circumstance modifier on Bluff and Diplomacy checks.  This spell does not affect other types of divination magic (such as &lt;i&gt;detect thoughts&lt;/i&gt; or &lt;i&gt;discern&lt;/i&gt; lies) and does not protect against spells or effects that cause harm based on targeted creatures&apos; alignments.&lt;/p&gt;",Black Markets,,,NULL
Remarkable Legerdemain,transmutation,,,"bard 2, sorcerer/wizard 2",1 standard action,"V, S",personal,,,you,1 minute/level (D),,,"&lt;p&gt;While this spell is in effect, your body and clothing flutter and distort subtly, allowing you to conceal items with uncanny skill. You treat any object you can hold in one hand as a coin-sized object for the purposes of Sleight of Hand checks to palm the object or make it disappear; however, you can hide only one such item per caster level on your person at one time. This effect does not change the actual sizes of the objects.&lt;/p&gt;",Black Markets,,,NULL
Secret Coffer,conjuration,summoning,,"sorcerer/wizard 3, witch 3",10 minutes,"V, S, F (the chest and its replica)",see text,,,one small chest or coffer and up to 1 cu. ft. of goods,60 days or until discharged,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;secret chest&lt;/i&gt;, except the coffer is only 1 foot square and can contain only 1 cubic foot of goods, and the container can remain safely hidden on the Ethereal Plane for only 14 days before it risks becoming lost. The spell automatically fails if a living creature enters the coffer. The coffer used as a focus for &lt;i&gt;secret coffer&lt;/i&gt; must cost at least 500 gp, and its replica costs 5 gp.&lt;/p&gt;",Black Markets,,,NULL
Secret Vault,conjuration,summoning,,"sorcerer/wizard 8, witch 8",10 minutes,"V, S, F (the chest and its replica)",see text,,,one chamber and up to 10 cu. ft. of goods/caster level,60 days or until discharged,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;secret chest&lt;/i&gt;, except it affects a small structure, vault, or oversized chest. Living creatures within a &lt;i&gt;secret vault&lt;/i&gt; don&apos;t cause the spell to fail. While the vault is stored on the Ethereal Plane, living creatures within the vault don&apos;t need to eat, drink, or breathe, but they can&apos;t leave the vault except via magic such as &lt;i&gt;plane shift&lt;/i&gt;. The vault used as a focus for &lt;i&gt;secret vault&lt;/i&gt; must cost at least 25,000 gp, and its replica costs 250 gp. A &lt;i&gt;secret vault&lt;/i&gt; has only a 1% cumulative chance per day of becoming irretrievably lost after 360 days.&lt;/p&gt;",Black Markets,,,NULL
Shadow Enchantment,illusion,shadow,shadowUM,"bard 3, mesmerist 3, psychic 3, sorcerer/wizard 3",1 standard action,"V, S",see text,,see text,,see text,Will disbelief; see text,yes,"&lt;p&gt;You use material from the Shadow Plane to cast a quasi-real, illusory version of a psychic, sorcerer, or wizard enchantment spell of 2nd level or lower. Spells that deal damage or have other effects work as normal unless the affected creature succeeds at a Will save. If the disbelieved enchantment spell has a damaging effect, that effect is one-fifth as strong (if applicable) or only 20% likely to occur. If recognized as a &lt;i&gt;&lt;i&gt;shadow&lt;/i&gt; enchantment&lt;/i&gt;, a damaging spell deals only one-fifth (20%) the normal amount of damage.  If the disbelieved attack has a special effect other than damage, that effect is one-fifth as strong (if applicable) or only 20% likely to occur. Regardless of the result of the save to disbelieve, an affected creature is also allowed any save (or spell resistance) that the spell being simulated allows, but the save DC is set according to &lt;i&gt;&lt;i&gt;shadow&lt;/i&gt; enchantment&lt;/i&gt;&apos;s level (3rd) rather than the spell&apos;s normal level. Objects, mindless creatures, and creatures immune to mind-affecting effects automatically succeed at their Will saves against this spell.&lt;/p&gt;",Occult Realms,,,NULL
"Shadow Enchantment, Greater",illusion,shadow,shadowUM,"bard 6, mesmerist 6, psychic 6, sorcerer/wizard 6",1 standard action,"V, S",see text,,see text,,see text,Will disbelief; see text,yes,"&lt;p&gt;This spell functions like &lt;i&gt;shadow enchantment&lt;/i&gt;, except that it enables you to create partially real, illusory versions of psychic, sorcerer, or wizard enchantment spells of 5th level or lower. If the spell is recognized as a greater &lt;i&gt;shadow enchantment&lt;/i&gt;, it&apos;s only three-fifths (60%) as effective.&lt;/p&gt;",Occult Realms,,,NULL
Detect Fiendish Presence,divination,,,"bard 0, cleric/oracle 0, magus 0, sorcerer/wizard 0, witch 0",1 standard action,"V, S",60 ft.,cone-shaped emanation,,,"concentration, up to 10 minutes/level (D)",none,no,"&lt;p&gt;This spell functions like &lt;i&gt;detect evil&lt;/i&gt;, except that it detects only outsiders with the evil subtype, as well as the lingering effects caused by their gifts, presence, and spells. It can also detect clerics and paladins of fiendish deities, including Asmodeus, archdevils, daemonic harbingers, and demon lords.&lt;/p&gt;",Agents Of Evil,,,NULL
Devil Snare,abjuration,,good,"cleric/oracle 4, sorcerer/wizard 5",1 full-round action,"V, S, M (a pouch of silvered powder worth 25 gp)",touch,,10-ft.-radius circle,,1 round/level,Will negates; see text,yes; see text,"&lt;p&gt;Your touch creates an invisible circle on a flat surface. Any outsider passing through this circle must succeed at a Will save or be caught within. Once trapped, a creature must succeed at a Will save as a standard action to physically exit the confines of the circle, teleport, or use any form of extra&lt;i&gt;dimensional&lt;/i&gt; travel (as per &lt;i&gt;dimensional&lt;/i&gt; anchor). Contained outsiders can still attack adjacent creatures outside of the circle, or target others with ranged attacks, spells, and spell-like abilities. Despite the spell&apos;s name, &lt;i&gt;devil snare&lt;/i&gt; captures outsiders of any type, not only devils.  As a standard action, you can dismiss the circle, expelling any outsiders still trapped within to their planes of origin (as per dismissal). An outsider can resist this effect with a successful Will save, enabling it to remain after the spell is dismissed.&lt;/p&gt;",Agents Of Evil,,,25
Punishing Armor,abjuration,,,"alchemist 1, bloodrager 1, magus 1, shaman 1, sorcerer/wizard 1, spiritualist 1, summoner/unchained summoner 1",1 standard action,"V, S",personal,,,you,10 minutes/level (D),Fortitude negates; see below,no,&lt;p&gt;You coat yourself with a thin layer of shimmering energy. Any creature dealing nonlethal damage to you immediately takes half the amount of nonlethal damage dealt. A successful Fortitude save made by the attacking creature negates this damage.&lt;/p&gt;,Agents Of Evil,,,NULL
Unholy Ward,abjuration,,evil,"antipaladin 3, cleric/oracle 4, inquisitor 3, sorcerer/wizard 4",1 standard action,"V, S, DF",personal,,,you,10 minutes/level (D),Fort negates (harmless),yes (harmless),"&lt;p&gt;This spell grants you resistance to the holy powers of good-aligned deities and their servants. You resist 10 points of damage from holy sources (divine power damage from &lt;i&gt;flame strike&lt;/i&gt;, additional damage from smite evil, channeled positive energy, etc.), provided they originate from a good-aligned source or a servant of a good-aligned god. You ignore a maximum of 10 points of damage per caster level, at which point the spell ends.&lt;/p&gt;",Agents Of Evil,,,NULL
Blood Tentacles,necromancy,,,"antipaladin 4, cleric/oracle 5, shaman 5, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5",1 standard action,"V, S, M (a fresh handful of the caster&apos;s blood)",personal,,,you,1 round/level,Will negates (harmless),no,"&lt;p&gt;You smear a handful of your own blood across your chest, causing one writhing tentacle per caster level to burst forth. You can direct these tentacles to attack a single creature within 15 feet as a standard action, or one creature per 5 caster levels as a full-round action. Each tentacle has an attack bonus equal to your base attack bonus plus either your Constitution or Charisma bonus (whichever is higher). Each tentacle deals 2d6 points of damage, and a tentacle collapses into dried blood on a successful hit, granting you a number of temporary hit points equal to the damage dealt. You can&apos;t gain more temporary hit points than your maximum number of hit points. These temporary hit points disappear after 1 hour.&lt;/p&gt;",Agents Of Evil,,,NULL
Caustic Safeguard,abjuration,,acid,"alchemist 3, bloodrager 3, magus 3, sorcerer/wizard 4",1 round,"V, S, M (a thin metal wire and a vial of acid)",touch,,,object touched,1 hour/level (D),Reflex half (see text),no,"&lt;p&gt;You imbue a single object with an acidic protective ward. Any creature other than you that touches the object takes 1d6 points of acid damage per 2 caster levels (maximum 10d6; Reflex half). Each time the spell discharges, the number of damage dice it deals is halved (rounded down); when the spell&apos;s damage dice reach 0, the spell ends. While casting this spell, you can touch up to one creature per 4 caster levels, which allows them to handle the warded object without triggering this spell.&lt;/p&gt;",Agents Of Evil,,,NULL
Coward&apos;s Cowl,enchantment,,mind-affecting,"alchemist 1, bard 1, cleric/oracle 1, mesmerist 1, psychic 1, shaman 1, sorcerer/wizard 1, witch 1",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,,one creature,1 minute/level,Will negates (harmless),no,"&lt;p&gt;You imbue the target with a compulsion to avoid threats, enhancing its defensive instincts. So long as the affected creature  does not move closer to enemies during its turn, or moves at least 5 feet away from adjacent enemies, it gains a +1 morale bonus to its AC, and a +1 morale bonus on saves and on attack rolls made as readied actions and attacks of opportunity. Alternatively, if the affected creature does not close with its enemies, it can increase the DC of all spells it casts as part of a readied action by 1. If the subject of the spell willingly moves toward a threatening creature, the spell immediately ends.  While affected by coward&apos;s cowl, a creature takes a -2 penalty on all saving throws against fear effects.&lt;/p&gt;",Agents Of Evil,,,NULL
Dream Dalliance,illusion,phantasm,mind-affecting,"mesmerist 3, psychic 4, sorcerer/wizard 4",1 round,"V, S",medium (100 ft. + 10 ft./level),,,one creature,instantaneous,"Will disbelief, then Will partial (see text)",yes,"&lt;p&gt;You create a comforting phantasm, which leeches onto the psyche of a nearby target. The creature can attempt a Will saving throw to prevent the phantasm from entering its psyche, but otherwise it takes up permanent residence in the creature&apos;s mind. The phantasm fills its target&apos;s dreams with happy visions, comforting manifestations of loved ones, and incredible vistas, feeding the target a perfect fantasy life it never wishes to leave. After the target&apos;s next night&apos;s sleep, the target must succeed at a Will saving throw to wake up; otherwise, it remains asleep for the rest of the day and following night. Each night it must succeed at a new saving throw or remain asleep for days or weeks on end as it slowly starves to death (presuming it normally needs to eat to survive). Loud noises, jostling, and even pain won&apos;t rouse the slumbering target. Dealing 1 point of damage per the target&apos;s Hit Die awakens the target, but it awakens fatigued and takes a -2 penalty on all saving throws against spells and effects that may put it back to sleep until the phantasm has been banished.  The phantasm remains in its host&apos;s mind indefinitely, requiring a new Will saving throw to wake up every time the target rests, until it is removed via &lt;i&gt;break enchantment&lt;/i&gt;, &lt;i&gt;greater restoration&lt;/i&gt;, or &lt;i&gt;miracle&lt;/i&gt;. Alternatively, the phantasm can be confronted in its host&apos;s mindscape (&lt;i&gt;Pathfinder RPG Occult Adventures&lt;/i&gt; 202), where it manifests as a slothful duplicate of its host with identical abilities, skills, and attributes.&lt;/p&gt;",Agents Of Evil,,,NULL
Enticing Adulation,enchantment,,mind-affecting,"bard 3, sorcerer/wizard 4, witch 4",1 standard action,"V, S, M (a lock of your hair)",close (25 ft. + 5 ft./2 levels),,,one creature,10 minutes/level,Will negates,yes,"&lt;p&gt;A targeted creature that fails its saving throw is filled with a deep desire to protect and care for you, fawning over your needs and ensuring your comfort. If another creature harms you, the target is immediately overcome with rage and is compelled to attack the aggressor, gaining a +2 morale bonus to Strength and Constitution, a +1 morale bonus on Will saves, and a -2 penalty to its Armor Class. These bonuses last until the instigating creature is defeated or retreats, or the target of the spell is killed or rendered unconscious. If other creatures have harmed you while the target is under this effect, the target continues to rage until all threats against you are defeated or driven off, after which the target creature is fatigued for as many rounds as it raged. Your target continues to fly into defensive rages each time a creature harms you so long as the spell&apos;s duration lasts, but cannot rage while fatigued.  If you are reduced below 0 hit points by an attack, the target creature must succeed at a second Will save or be compelled to defend your body, attacking anyone who comes near, for the remainder of the spell&apos;s duration. If the creature succeeds at this second save, the spell immediately ends.&lt;/p&gt;",Agents Of Evil,,,NULL
Furious Fire Barrage,evocation,,fire,"bloodrager 4, magus 5, sorcerer/wizard 6",1 standard action,"V, S, M (two balls of guano)",personal,,,,1 round/level; see text,Reflex half,yes,"&lt;p&gt;Upon casting this spell, you conjure forth one or two balls of flame, each resting in a free hand. As part of casting this spell or as a standard action, you can throw one flame ball a maximum of 300 feet, dealing 1d6 points of fire damage per caster level you have (maximum 10d6) to all creatures within a 10-foot-radius spread.  So long as the spell&apos;s duration lasts, you can channel your anger as a full-round action to create one new ball of flame, which can be thrown as a standard action. You cannot create additional balls of flame while you are under the effects of a &lt;i&gt;calm emotions&lt;/i&gt; spell or are otherwise unable to feel anger or outrage.&lt;/p&gt;",Agents Of Evil,,,NULL
Golden Guise,transmutation,,,"bard 2, sorcerer/wizard 3, witch 3",1 standard action,"V, S, M (10 gold pieces)",close (25 ft. + 5 ft./2 levels),,,one object weighing no more than 5 lbs./level,1 minute/level,Will negates (harmless),yes,"&lt;p&gt;You cause an object to briefly transform into gold. Affected items gain the properties of gold (&lt;i&gt;Pathfinder RPG Ultimate Equipment&lt;/i&gt; 53) until the spell expires. Weapons reduce their hardness by half and gain the fragile quality, while piercing and slashing weapons take a -2 penalty on damage rolls (minimum 1 damage). This spell increases the affected item&apos;s armor check penalty by 2 and decreases its armor or shield bonus by 2. Gold armor has hardness 5.&lt;/p&gt;",Agents Of Evil,,,NULL
Shadow Endurance,illusion,shadow,shadowUM,"bard 5, mesmerist 5, shaman 5, sorcerer/wizard 6, spiritualist 5",1 standard action,"V, S, M (a fetchling&apos;s tooth)",personal,,,,"1 hour/level until discharged, then 1 minute/level; see text",Will disbelief (if interacted with); varies; see text,see text,"&lt;p&gt;You conjure protective wisps of darkness made from shadow. If you are reduced below 0 hit points or rendered unconscious, &lt;i&gt;shadow endurance&lt;/i&gt; immediately discharges, shunting your injured body into a hidden alcove on the Shadow Plane. You immediately stabilize, but cannot awaken or take any further actions until the second duration expires.  As you vanish, a quasi-real duplicate of you made from shadow substance appears where you fell, as if created by &lt;i&gt;shadow conjuration&lt;/i&gt;. The duplicate acts on your initiative and is under your control. Your duplicate is 1/4 as real as you and appears with 25% of your full hit point total, and any creature that fails a Will saving throw believes it to be you. The duplicate has the same equipment-based bonuses as you, but deals only 1/4 of your normal damage against enemies. It can cast any spells you can, drawing on your reserve of magic, but the duplicate&apos;s caster level is 1/4 your actual level. Regardless of your alignment, your shadow duplicate is neutral evil, though it will not harm your friends and allies.  When the second duration of the spell expires, your duplicate disappears and your body reappears in the location from which you vanished. If the image is destroyed, the spell immediately expires and your body reappears.&lt;/p&gt;",Agents Of Evil,,,NULL
Seer&apos;s Bane,abjuration,,,"cleric/oracle 6, inquisitor 6, sorcerer/wizard 6",1 round,"V, S",touch,,,creature or object touched,1 hour/level,"Will negates (harmless, object)","yes (harmless, object)","&lt;p&gt;This spell functions as &lt;i&gt;nondetection&lt;/i&gt;, except that those who cast divination spells targeting the warded creature or item must succeed on a caster level check (DC = 15 + your caster level). If the caster of the divination fails, deadly magical feedback strikes at him, dealing 1d6 points of electricity damage per 2 caster levels you have (maximum 10d6 at 20th level).  Alternatively, if you cast &lt;i&gt;bestow curse&lt;/i&gt;, &lt;i&gt;chaos hammer&lt;/i&gt;, &lt;i&gt;contagion&lt;/i&gt;, &lt;i&gt;holy smite&lt;/i&gt;, order&apos;s wrath, &lt;i&gt;poison&lt;/i&gt;, or &lt;i&gt;unholy blight&lt;/i&gt; in the round immediately following seer&apos;s bane, you can replace the spell&apos;s damaging effect with the effects of that second spell (the divination&apos;s caster-and potentially those around him-save as normal for the modifying spell).&lt;/p&gt;",AP 102,,,NULL
Aroden&apos;s Magic Army,transmutation,,,"shaman 8, sorcerer/wizard 7",1 standard action,"V, S, DF",long (400 ft. + 40 ft./level),,,weapons carried by allies,1 hour/level,"Will negates (harmless, object)","yes (harmless, object)","&lt;p&gt;You imbue all manufactured weapons carried by allies within range with magic, granting each weapon a +1 enhancement bonus on attack rolls and damage rolls per 5 caster levels (maximum +4).&lt;/p&gt;",Arcane Anthology,,,NULL
Aroden&apos;s Spellsword,transmutation,,,"bard 4, bloodrager 4, magus 3, occultist 4, sorcerer/wizard 3, witch 4",1 round,"V, S, F (a magic rod or staff)",touch,,one melee weapon sized appropriately for you,,10 minutes/level,"Will negates (harmless, object)","yes (harmless, object)","&lt;p&gt;When you cast this spell on a weapon, you cause an extradimensional space to open within the weapon. As part of the casting, you can insert a single magic rod or magic staff into the weapon&apos;s extradimensional space, after which the space closes. For the spell&apos;s duration, a character wielding the transmuted weapon is also considered to be wielding the rod or staff as well. If the rod or staff can be used to make attacks, you can attack normally with the weapon or use the weapon as if it were the merged rod or staff. If the effect created by the rod or staff requires an attack roll to successfully strike a foe, you can make the attack roll as if you were making an attack with the weapon at its highest bonus (including any bonuses the weapon would normally receive) rather than just a normal attack with the rod or staff-doing so does not allow you to add the weapon&apos;s damage to the attack, but instead allows you to use your skill with the weapon to boost your chance of hitting with the rod or staff&apos;s attack, spell, or effect.  At the end of the spell&apos;s duration, the merged rod or staff is ejected from the weapon. If you have a free hand, you can catch the rod or staff as a free action; otherwise, it drops to the ground.  If the merged weapon is broken or destroyed during the duration of Aroden&apos;s spellsword, the merged rod or staff is similarly broken or destroyed.&lt;/p&gt;",Arcane Anthology,,,NULL
Banishing Blade,abjuration,,,"antipaladin 4, bloodrager 4, inquisitor 5, magus 5, medium 4, paladin 4, shaman 5, sorcerer/wizard 5, spiritualist 5, summoner/unchained summoner 5",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,one melee weapon,,1 round/level or until discharged,none and Will partial (see text),yes (see text),"&lt;p&gt;You imbue a weapon with the power to drive foes back. The first time each round the weapon strikes a creature, the weapon attempts a free bull rush combat maneuver check against that creature. This does not provoke attacks of opportunity. The combat maneuver for the bull rush is equal to 1d20 + your caster level. You do not have to move to push creatures more than 5 feet with this bull rush. If a creature you strike has spell resistance, you must attempt a caster level check to overcome its spell resistance the first time you strike it. If you fail, that creature is immune to the effects of this casting of &lt;i&gt;&lt;i&gt;banishing&lt;/i&gt; blade&lt;/i&gt;.  The first time each extraplanar creature whose Hit Dice don&apos;t exceed your caster level is driven back at least 10 feet by this spell, it must attempt a Will save. If it fails, it is sent back to its home plane. Whether it succeeds or fails, that creature is staggered for 1 round and &lt;i&gt;&lt;i&gt;banishing&lt;/i&gt; blade&lt;/i&gt;&apos;s duration ends.&lt;/p&gt;",Arcane Anthology,,,NULL
Create Armaments,conjuration,creation,,"bard 4, medium 4, psychic 4, sorcerer/wizard 4, spiritualist 3, witch 4",1 minute,"V, S, M (diamonds worth price of arms to be created)",0 ft.,,"one nonmagical weapon, shield, or set of armor",,instantaneous,none,no,"&lt;p&gt;You create one nonmagical weapon, shield, or set of armor. To determine whether the item functions as intended, you must attempt an appropriate Craft check with the DC required to create the item normally. If you fail, the item is created with the broken condition. You can create items made of rare or unusual materials if you include a bit of that material as an additional material component when you cast the spell, but cannot create cold iron items with this spell.&lt;/p&gt;",Arcane Anthology,,,NULL
Expeditious Construction,conjuration,creation,earth,"druid 1, sorcerer/wizard 1",1 standard action,"V, S, M (a handful of earth or stone)",close (25 ft. + 5 ft./2 levels),,a low wall 10 feet long per 3 levels (minimum 10 feet) (S),,instantaneous,none,no,"&lt;p&gt;You create a low wall or other simple structure of packed earth or loose stone measuring 3 feet thick, 3 feet tall, and 10 feet long per 3 caster levels you possess (minimum 10 feet). Each square of the structure can appear only in unoccupied spaces atop earthen or stone surfaces able to support it. The wall grants cover as per a low wall and can be climbed with a successful DC 5 Climb check. Large and larger creatures don&apos;t need to attempt a Climb check to climb over it.  At your discretion, you can make the structure half as long but thicker by forming it into a berm consisting of a steep slope on each side. Characters moving uphill (to an adjacent square of higher elevation) must spend 2 squares of movement to enter a square of steep slope. Characters running or charging downhill (moving to an adjacent square  of lower elevation) must attempt a DC 10 Acrobatics check upon entering the first steep slope square. Mounted characters attempt a DC 10 Ride check instead. Characters who fail this check stumble and must end their movement 1d2 x 5 feet later. Characters who fail by 5 or more fall prone in the square where they end their movement. A steep slope increases the DC of Acrobatics checks by 2.&lt;/p&gt;",Arcane Anthology,,,NULL
Force Sword,evocation,,force,"bloodrager 2, magus 2, occultist 2, psychic 2, sorcerer/wizard 2, spiritualist 2, witch 2",1 standard action,"V, S",0 ft.,,one sword-shaped weapon of force,,1 minute/level,none,yes,"&lt;p&gt;You create a &lt;i&gt;+1 longsword&lt;/i&gt; of pure force sized appropriately for you that you can wield or give to another creature like any other longsword. At 8th level, the sword functions as a &lt;i&gt;+2 longsword&lt;/i&gt;. At 13th level, it functions as a &lt;i&gt;+3 longsword&lt;/i&gt;. A &lt;i&gt;force sword&lt;/i&gt; cannot be attacked or harmed by physical attacks, but &lt;i&gt;dispel magic&lt;/i&gt;, &lt;i&gt;disintegrate&lt;/i&gt;, a &lt;i&gt;sphere of annihilation&lt;/i&gt;, or a &lt;i&gt;rod of cancellation&lt;/i&gt; affects it.  If a creature you attack with the sword has spell resistance, you must attempt a caster level check (1d20 + your caster level) against that spell resistance the first time the &lt;i&gt;force sword&lt;/i&gt; strikes it. If you fail the check, the spell is dispelled. If you succeed, the weapon has its normal full effect on that creature for the duration of the spell.&lt;/p&gt;",Arcane Anthology,,,NULL
Grand Destiny,enchantment,compulsion,mind-affecting,"alchemist 5, bard 4, medium 4, mesmerist 5, sorcerer/wizard 5, summoner/unchained summoner 5",1 standard action,"V, S",medium (100 ft. + 10 ft./level),,one willing creature,,10 minutes/level or until discharged,none (harmless),yes (harmless),"&lt;p&gt;You inspire the target with the power to seize a &lt;i&gt;grand destiny&lt;/i&gt;. The target gains a +4 competence bonus that it can choose to apply before rolling any attack roll, caster level check, saving throw, or skill check. The spell ends once the bonus has been applied to two rolls. At 12th level and 15th level, the bonus can be applied an additional time before the spell is discharged. A subject can be under the effect of only one &lt;i&gt;grand destiny&lt;/i&gt; spell at a time.&lt;/p&gt;",Arcane Anthology,,,NULL
"Guardian Monument, Lesser",abjuration,,,"bard 3, inquisitor 3, magus 3, occultist 3, paladin 3, psychic 3, shaman 4, sorcerer/wizard 3, witch 3",1 full round,"V, S, F (an unattended, nonmagical object)",touch,40-ft. radius from touched object or 60-ft. radius from touched object; see text,,,1 hour/level,Will negates (harmless),yes,"&lt;p&gt;You touch an unattended, nonmagical object to create a touchstone for humans defending the area. Such human defenders are protected by a shimmering aura as long as they are in the area. The spell grants each subject damage reduction 2/magic. Humans who leave the area and reenter regain the damage reduction. The spell is suppressed if the object is moved from its place, but resumes if the object is put back. Its duration continues to elapse while it is suppressed this way.  Normally, the area of effect is 40 feet from the touched object. If the touched object is a monument to human achievement, the area increases to a 60-foot radius.&lt;/p&gt;",Arcane Anthology,,,NULL
"Guardian Monument, Greater",abjuration,,,"bard 5, inquisitor 5, occultist 5, psychic 5, sorcerer/wizard 5, witch 5",1 full round,"V, S, F (an unattended, nonmagical object)",touch,40-ft. radius from touched object or 60-ft. radius from touched object; see text,,,1 hour/level,Will negates (harmless),yes,"&lt;p&gt;This spell functions as &lt;i&gt;lesser guardian monument&lt;/i&gt;, except it grants DR 4/magic.&lt;/p&gt;",Arcane Anthology,,,NULL
Human Potential,transmutation,,,"alchemist 2, bard 2, medium 2, psychic 2, sorcerer/wizard 2",1 standard action,"V, S, M (a human hair)",touch,,,creature touched,1 minute/level,Will negates (harmless),yes,"&lt;p&gt;The target shares in humanity&apos;s great potential as encouraged by Aroden. The target chooses one ability score and gains a +2 enhancement bonus to that ability score. The bonus confers the usual benefit to skills and abilities based on the ability enhanced, but does not affect bonus spells or skill ranks.&lt;/p&gt;",Arcane Anthology,,,NULL
"Human Potential, Mass",transmutation,,,"bard 6, psychic 6, sorcerer/wizard 6, summoner/unchained summoner 6",1 standard action,"V, S, M (a human hair)",close (25 ft. + 5 ft./2 levels),,,"one creature/level, no two of which can be more than 30 ft. apart",1 minute/level,Will negates (harmless),yes,"&lt;p&gt;This spell functions like &lt;i&gt;human potential&lt;/i&gt;, except it affects multiple creatures. Each target can choose a different ability score to be enhanced by this spell.&lt;/p&gt;",Arcane Anthology,,,NULL
Last Azlanti&apos;s Defending Sword,evocation,,force,"magus 6, occultist 6, psychic 7, sorcerer/wizard 6",1 standard action,"V, S, F (a miniature platinum sword worth 250 gp)",close (25 ft. + 5 ft./2 levels),,one sword,,1 round/level (D),none,yes,"&lt;p&gt;You create a sword of force that functions as mage&apos;s sword except as described here. The sword does not receive the additional +3 enhancement bonus a mage&apos;s sword receives, and deals 3d6 points of force damage. You cannot command the sword. Until the sword is triggered, it hovers in your space without interfering with  your actions. While hovering in this way, the sword attempts to defend you from incoming attacks, granting you a +4 shield bonus to your AC. The first time a foe within close range damages you or forces you to attempt a saving throw that you fail, the sword is triggered and begins attacking that target as described in mage&apos;s sword for the duration of the spell. This ends the shield bonus. You cannot direct the sword to defend against a new target once it has begun to attack. If its target moves beyond the sword&apos;s range, the sword returns to you and hovers until the target is again within range. The sword&apos;s return does not restore the spell&apos;s shield bonus to AC.&lt;/p&gt;",Arcane Anthology,,,250
"Last Azlanti&apos;s Defending Sword, Mass",evocation,,force,sorcerer/wizard 9,1 standard action,"V, S, F (a miniature platinum sword worth 250 gp)",close (25 ft. + 5 ft./2 levels),,up to one sword per 3 levels,,1 round/level (D),none,yes,"&lt;p&gt;This spell functions as Aroden&apos;s defending sword, except you can create one sword per 5 caster levels, each of which must defend a different creature within range.&lt;/p&gt;",Arcane Anthology,,,250
